Time,Temperature
2022-10-19 18:58:00,13.9
2022-10-19 19:03:00,13.9
2022-10-19 19:08:00,14.3
2022-10-19 19:12:00,14.6
2022-10-19 19:18:00,14.6
2022-10-19 19:22:00,14.6
2022-10-19 19:28:00,14.4
2022-10-19 19:33:00,14.3
2022-10-19 19:37:00,14.2
2022-10-19 19:43:00,14.1
2022-10-19 19:48:00,13.9
2022-10-19 19:53:00,13.8
2022-10-19 19:58:00,14.2
2022-10-19 20:03:00,14.4
2022-10-19 20:07:00,14.4
2022-10-19 20:12:00,14.4
2022-10-19 20:18:00,14.3
2022-10-19 20:22:00,14.1
2022-10-19 20:28:00,14.1
2022-10-19 20:33:00,13.9
2022-10-19 20:47:00,14.1
2022-10-19 20:53:00,14.4
2022-10-19 20:57:00,14.4
2022-10-19 21:02:00,14.3
2022-10-19 21:08:00,14.2
2022-10-19 21:12:00,14.1
2022-10-19 21:18:00,13.9
2022-10-19 21:23:00,14.1
2022-10-19 21:28:00,14.4
2022-10-19 21:33:00,14.5
2022-10-19 21:37:00,14.4
2022-10-19 21:42:00,14.4
2022-10-19 21:48:00,14.3
2022-10-19 21:52:00,14.1
2022-10-19 21:57:00,14.0
2022-10-19 22:03:00,14.1
2022-10-19 22:07:00,14.4
2022-10-19 22:13:00,14.6
2022-10-19 22:18:00,14.4
2022-10-19 22:22:00,14.3
2022-10-19 22:28:00,14.2
2022-10-19 22:32:00,14.1
2022-10-19 22:37:00,14.0
2022-10-19 22:43:00,14.3
2022-10-19 22:47:00,14.5
2022-10-19 22:52:00,14.6
2022-10-19 22:59:00,14.6
2022-10-19 23:02:00,14.4
2022-10-19 23:08:00,14.3
2022-10-19 23:12:00,14.1
2022-10-19 23:17:00,14.0
2022-10-19 23:23:00,14.1
2022-10-19 23:27:00,14.4
2022-10-19 23:32:00,14.5
2022-10-19 23:38:00,14.4
2022-10-19 23:42:00,14.3
2022-10-19 23:48:00,14.2
2022-10-19 23:52:00,14.1
2022-10-19 23:57:00,14.4
2022-10-20 00:03:00,14.6
2022-10-20 00:17:00,14.4
2022-10-20 00:23:00,14.1
2022-10-20 00:27:00,14.3
2022-10-20 00:32:00,14.6
2022-10-20 00:38:00,14.5
2022-10-20 00:42:00,14.4
2022-10-20 00:48:00,14.2
2022-10-20 00:52:00,14.1
2022-10-20 00:57:00,14.4
2022-10-20 01:02:00,14.5
2022-10-20 01:07:00,14.4
2022-10-20 01:14:00,14.3
2022-10-20 01:18:00,14.1
2022-10-20 01:22:00,14.2
2022-10-20 01:28:00,14.5
2022-10-20 01:32:00,14.5
2022-10-20 01:37:00,14.3
2022-10-20 01:43:00,14.1
2022-10-20 01:47:00,14.1
2022-10-20 01:52:00,14.4
2022-10-20 01:58:00,14.4
2022-10-20 02:02:00,14.3
2022-10-20 02:08:00,14.1
2022-10-20 02:12:00,14.2
2022-10-20 02:17:00,14.4
2022-10-20 02:22:00,14.4
2022-10-20 02:27:00,14.3
2022-10-20 02:34:00,14.1
2022-10-20 02:37:00,14.3
2022-10-20 02:42:00,14.4
2022-10-20 02:48:00,14.3
2022-10-20 02:53:00,14.1
2022-10-20 02:57:00,14.1
2022-10-20 03:03:00,14.4
2022-10-20 03:07:00,14.4
2022-10-20 03:12:00,14.3
2022-10-20 03:18:00,14.0
2022-10-20 03:22:00,14.3
2022-10-20 03:27:00,14.4
2022-10-20 03:33:00,14.3
2022-10-20 03:48:00,14.1
2022-10-20 03:49:00,14.4
2022-10-20 03:54:00,14.4
2022-10-20 03:58:00,14.1
2022-10-20 04:03:00,14.1
2022-10-20 04:08:00,14.4
2022-10-20 04:13:00,14.4
2022-10-20 04:18:00,14.2
2022-10-20 04:24:00,14.1
2022-10-20 04:28:00,14.4
2022-10-20 04:33:00,14.4
2022-10-20 04:39:00,14.3
2022-10-20 04:43:00,14.1
2022-10-20 04:48:00,14.3
2022-10-20 04:53:00,14.4
2022-10-20 04:58:00,14.3
2022-10-20 05:04:00,14.1
2022-10-20 05:08:00,14.3
2022-10-20 05:13:00,14.4
2022-10-20 05:19:00,14.3
2022-10-20 05:24:00,14.1
2022-10-20 05:28:00,14.3
2022-10-20 05:34:00,14.4
2022-10-20 05:38:00,14.3
2022-10-20 05:43:00,14.1
2022-10-20 05:49:00,14.3
2022-10-20 05:53:00,14.4
2022-10-20 05:58:00,14.3
2022-10-20 06:04:00,14.1
2022-10-20 06:09:00,14.4
2022-10-20 06:13:00,14.5
2022-10-20 06:19:00,14.3
2022-10-20 06:23:00,14.1
2022-10-20 06:28:00,14.4
2022-10-20 06:34:00,14.4
2022-10-20 06:38:00,14.1
2022-10-20 06:43:00,14.2
2022-10-20 06:49:00,14.4
2022-10-20 06:54:00,14.3
2022-10-20 06:58:00,14.1
2022-10-20 07:12:00,14.350000000000001
2022-10-20 07:13:00,14.3
2022-10-20 07:18:00,14.1
2022-10-20 07:23:00,14.3
